bucket_name,region,access_level,versioning,owner_email
nikhilesh-prod-data-001,ap-south-1,private,true,nikhileshdubey039@gmail.com
nikhilesh-prod-data-002,ap-south-1,private,true,nikhileshdubey039@gmail.com
nikhilesh-prod-data-003,ap-south-1,private,true,nikhileshdubey039@gmail.com
nikhilesh-staging-env-001,ap-south-1,private,false,nikhileshdubey039@gmail.com
nikhilesh-staging-env-002,ap-south-1,private,false,nikhileshdubey039@gmail.com
nikhilesh-staging-env-003,ap-south-1,private,false,nikhileshdubey039@gmail.com
nikhilesh-dev-workspace-001,ap-south-1,private,false,nikhileshdubey039@gmail.com
nikhilesh-dev-workspace-002,ap-south-1,private,false,nikhileshdubey039@gmail.com
nikhilesh-dev-workspace-003,ap-south-1,private,false,nikhileshdubey039@gmail.com
nikhilesh-ml-datasets-001,ap-south-1,private,true,nikhileshdubey039@gmail.com
nikhilesh-ml-datasets-002,ap-south-1,private,true,nikhileshdubey039@gmail.com
nikhilesh-ml-datasets-003,ap-south-1,private,true,nikhileshdubey039@gmail.com
nikhilesh-ml-models-store,ap-south-1,private,true,nikhileshdubey039@gmail.com
nikhilesh-logs-archive-001,ap-south-1,private,true,nikhileshdubey039@gmail.com
nikhilesh-logs-archive-002,ap-south-1,private,true,nikhileshdubey039@gmail.com
nikhilesh-logs-archive-003,ap-south-1,private,true,nikhileshdubey039@gmail.com
nikhilesh-backup-daily-001,ap-south-1,private,true,nikhileshdubey039@gmail.com
nikhilesh-backup-daily-002,ap-south-1,private,true,nikhileshdubey039@gmail.com
nikhilesh-backup-weekly-001,ap-south-1,private,true,nikhileshdubey039@gmail.com
nikhilesh-media-assets-001,ap-south-1,private,false,nikhileshdubey039@gmail.com
nikhilesh-media-assets-002,ap-south-1,private,false,nikhileshdubey039@gmail.com
nikhilesh-media-assets-003,ap-south-1,private,false,nikhileshdubey039@gmail.com
nikhilesh-static-files-web,ap-south-1,private,false,nikhileshdubey039@gmail.com
nikhilesh-api-cache-store,ap-south-1,private,false,nikhileshdubey039@gmail.com
nikhilesh-reports-monthly,ap-south-1,private,true,nikhileshdubey039@gmail.com
nikhilesh-reports-yearly,ap-south-1,private,true,nikhileshdubey039@gmail.com
nikhilesh-test-env-alpha,ap-south-1,private,false,nikhileshdubey039@gmail.com
nikhilesh-test-env-beta,ap-south-1,private,false,nikhileshdubey039@gmail.com
nikhilesh-test-env-gamma,ap-south-1,private,false,nikhileshdubey039@gmail.com
nikhilesh-config-store-app,ap-south-1,private,true,nikhileshdubey039@gmail.com
nikhilesh-secrets-vault-01,ap-south-1,private,true,nikhileshdubey039@gmail.com
nikhilesh-etl-pipeline-001,ap-south-1,private,true,nikhileshdubey039@gmail.com
nikhilesh-etl-pipeline-002,ap-south-1,private,true,nikhileshdubey039@gmail.com
nikhilesh-analytics-raw,ap-south-1,private,true,nikhileshdubey039@gmail.com
nikhilesh-analytics-processed,ap-south-1,private,true,nikhileshdubey039@gmail.com
