bucket_name,region,access_level,versioning,owner_email
nik-demo-prod-001,ap-south-1,private,true,admin@company.com
nik-demo-staging-002,ap-south-1,private,false,dev@company.com
nik-demo-assets-003,ap-south-1,public-read,false,cdn@company.com
nik-demo-logs-004,ap-south-1,private,true,ops@company.com
nik-demo-ml-005,ap-south-1,private,true,ml@company.com
nik-demo-backup-006,ap-south-1,private,true,backup@company.com
nik-demo-media-007,ap-south-1,public-read,false,media@company.com
nik-demo-archive-008,ap-south-1,private,false,archive@company.com
nik-demo-reports-009,ap-south-1,private,true,reports@company.com
nik-demo-static-010,ap-south-1,public-read,false,web@company.com
nik-demo-data-011,ap-south-1,private,true,data@company.com
nik-demo-config-012,ap-south-1,private,false,devops@company.com
nik-demo-uploads-013,ap-south-1,private,false,uploads@company.com
nik-demo-exports-014,ap-south-1,private,true,exports@company.com
nik-demo-frontend-015,ap-south-1,public-read,false,frontend@company.com
nik-demo-backend-016,ap-south-1,private,true,backend@company.com
nik-demo-analytics-017,ap-south-1,private,true,analytics@company.com
nik-demo-cache-018,ap-south-1,private,false,cache@company.com
nik-demo-temp-019,ap-south-1,private,false,temp@company.com
nik-demo-audit-020,ap-south-1,private,true,audit@company.com
nik-demo-events-021,ap-south-1,private,true,events@company.com
nik-demo-models-022,ap-south-1,private,true,ml@company.com
nik-demo-images-023,ap-south-1,public-read,false,cdn@company.com
nik-demo-videos-024,ap-south-1,public-read,false,cdn@company.com
nik-demo-docs-025,ap-south-1,private,false,docs@company.com
nik-demo-invoices-026,ap-south-1,private,true,finance@company.com
nik-demo-users-027,ap-south-1,private,true,admin@company.com
nik-demo-products-028,ap-south-1,private,false,catalog@company.com
nik-demo-orders-029,ap-south-1,private,true,orders@company.com
nik-demo-payments-030,ap-south-1,private,true,finance@company.com
nik-demo-notifications-031,ap-south-1,private,false,notify@company.com
nik-demo-search-032,ap-south-1,private,false,search@company.com
nik-demo-infra-033,ap-south-1,private,true,devops@company.com
nik-demo-terraform-034,ap-south-1,private,true,devops@company.com
nik-demo-datalake-035,ap-south-1,private,true,data@company.com
nik-demo-warehouse-036,ap-south-1,private,true,data@company.com
nik-demo-pipeline-037,ap-south-1,private,false,etl@company.com
nik-demo-sandbox-038,ap-south-1,private,false,dev@company.com
nik-demo-testing-039,ap-south-1,private,false,qa@company.com
nik-demo-release-040,ap-south-1,private,true,release@company.com
